timestamp,value
2018-10-25 21:36:08,0.75
2018-10-25 21:36:38,0.65
2018-10-25 21:37:08,0.85
2018-10-25 21:37:38,0.48
2018-10-25 21:38:08,0.6
2018-10-25 21:38:38,0.59
2018-10-25 21:39:08,0.74
2018-10-25 21:39:38,0.57
2018-10-25 21:40:08,0.29
2018-10-25 21:40:38,0.42
2018-10-25 21:41:08,0.79
2018-10-25 21:41:38,0.46
2018-10-25 21:42:08,0.31
2018-10-25 21:42:38,0.75
2018-10-25 21:43:08,0.52
2018-10-25 21:43:38,0.66
2018-10-25 21:44:08,0.58
2018-10-25 21:44:38,1.08
2018-10-25 21:45:08,0.7
2018-10-25 21:45:38,0.41
2018-10-25 21:46:08,0.52
2018-10-25 21:46:38,0.98
2018-10-25 21:47:08,0.55
2018-10-25 21:47:38,0.71
2018-10-25 21:48:08,0.94
2018-10-25 21:48:38,1.14
2018-10-25 21:49:08,0.65
2018-10-25 21:49:38,5.87
2018-10-25 21:50:08,3.83
2018-10-25 21:50:38,0.74
2018-10-25 21:51:08,0.96
2018-10-25 21:51:38,0.75
2018-10-25 21:52:08,0.76
2018-10-25 21:52:38,0.53
2018-10-25 21:53:08,0.59
2018-10-25 21:53:38,1.97
2018-10-25 21:54:08,0.51
2018-10-25 21:54:38,0.63
2018-10-25 21:55:08,0.76
2018-10-25 21:55:38,0.65
2018-10-25 21:56:08,0.52
2018-10-25 21:56:38,0.29
2018-10-25 21:57:08,0.23
2018-10-25 21:57:38,0.42
2018-10-25 21:58:08,0.41
2018-10-25 21:58:38,0.68
2018-10-25 21:59:08,1.02
2018-10-25 21:59:38,0.42
2018-10-25 22:00:08,0.51
2018-10-25 22:00:38,0.27
2018-10-25 22:01:08,0.84
2018-10-25 22:01:38,0.6
2018-10-25 22:02:09,0.56
2018-10-25 22:02:39,0.57
2018-10-25 22:03:09,0.43
2018-10-25 22:03:39,0.46
2018-10-25 22:04:09,0.3
2018-10-25 22:04:39,0.65
2018-10-25 22:05:09,2.42
2018-10-25 22:05:39,0.25
2018-10-25 22:06:09,0.13
2018-10-25 22:06:39,0.76
2018-10-25 22:07:09,0.52
2018-10-25 22:07:39,0.42
2018-10-25 22:08:09,0.17
2018-10-25 22:08:39,0.56
2018-10-25 22:09:09,0.49
2018-10-25 22:09:39,0.57
2018-10-25 22:10:09,0.49
2018-10-25 22:10:39,1.76
2018-10-25 22:11:09,0.86
2018-10-25 22:11:39,0.84
2018-10-25 22:12:09,0.53
2018-10-25 22:12:39,0.34
2018-10-25 22:13:09,0.56
2018-10-25 22:13:39,0.55
2018-10-25 22:14:09,0.4
2018-10-25 22:14:39,0.59
2018-10-25 22:15:09,0.46
2018-10-25 22:15:39,0.57
2018-10-25 22:16:09,2.6
2018-10-25 22:16:39,0.51
2018-10-25 22:17:09,0.39
2018-10-25 22:17:39,0.47
2018-10-25 22:18:09,0.58
2018-10-25 22:18:39,0.59
2018-10-25 22:19:09,0.42
2018-10-25 22:19:39,0.48
2018-10-25 22:20:09,0.65
2018-10-25 22:20:39,2.61
2018-10-25 22:21:09,0.43
2018-10-25 22:21:39,0.51
2018-10-25 22:22:09,0.5
2018-10-25 22:22:39,0.49
2018-10-25 22:23:09,0.51
2018-10-25 22:23:39,0.5
2018-10-25 22:24:09,0.42
2018-10-25 22:24:39,0.56
2018-10-25 22:25:09,2.42
2018-10-25 22:25:39,0.39
2018-10-25 22:26:09,0.49
2018-10-25 22:26:39,0.53
2018-10-25 22:27:09,0.56
2018-10-25 22:27:39,0.57
2018-10-25 22:28:09,0.46
2018-10-25 22:28:39,0.55
2018-10-25 22:29:09,0.66
2018-10-25 22:29:39,4.2
2018-10-25 22:30:09,0.69
2018-10-25 22:30:39,0.53
2018-10-25 22:31:09,0.56
2018-10-25 22:31:39,0.51
2018-10-25 22:32:09,0.49
2018-10-25 22:32:39,0.45
2018-10-25 22:33:09,0.52
2018-10-25 22:33:39,0.47
2018-10-25 22:34:09,2.54
2018-10-25 22:34:39,0.64
2018-10-25 22:35:09,0.51
2018-10-25 22:35:39,0.39
2018-10-25 22:36:09,0.57
2018-10-25 22:36:39,0.5
2018-10-25 22:37:09,0.41
2018-10-25 22:37:39,0.55
2018-10-25 22:38:09,0.48
2018-10-25 22:38:39,0.5
2018-10-25 22:39:09,0.59
2018-10-25 22:39:39,0.44
2018-10-25 22:40:09,0.56
2018-10-25 22:40:39,0.52
2018-10-25 22:41:09,0.6
2018-10-25 22:41:39,0.56
2018-10-25 22:42:09,2.53
2018-10-25 22:42:39,0.51
2018-10-25 22:43:09,2.37
2018-10-25 22:43:39,0.75
2018-10-25 22:44:09,0.66
2018-10-25 22:44:39,0.52
2018-10-25 22:45:09,0.52
2018-10-25 22:45:39,0.58
2018-10-25 22:46:09,0.51
2018-10-25 22:46:39,0.47
2018-10-25 22:47:09,0.51
2018-10-25 22:47:39,1.28
2018-10-25 22:48:09,1.8
2018-10-25 22:48:39,0.43
2018-10-25 22:49:09,0.42
2018-10-25 22:49:39,0.62
2018-10-25 22:50:09,0.42
2018-10-25 22:50:39,0.42
2018-10-25 22:51:09,0.55
2018-10-25 22:51:39,0.4
2018-10-25 22:52:09,0.48
2018-10-25 22:52:39,0.5
2018-10-25 22:53:09,0.55
2018-10-25 22:53:39,1.39
2018-10-25 22:54:09,1.98
2018-10-25 22:54:39,0.52
2018-10-25 22:55:09,0.58
2018-10-25 22:55:39,0.51
2018-10-25 22:56:09,0.46
2018-10-25 22:56:39,0.52
2018-10-25 22:57:09,0.5
